date,product_id,product_name,category,predicted_demand,lead_time_days,reorder_point
2026-01-01,P010,Ballpoint Pen Pack,Stationery,55.22,4,100
2026-01-02,P010,Ballpoint Pen Pack,Stationery,55.3,4,100
2026-01-03,P010,Ballpoint Pen Pack,Stationery,55.06,4,100
2026-01-04,P010,Ballpoint Pen Pack,Stationery,55.36,4,100
2026-01-05,P010,Ballpoint Pen Pack,Stationery,52.28,4,100
2026-01-06,P010,Ballpoint Pen Pack,Stationery,53.67,4,100
2026-01-07,P010,Ballpoint Pen Pack,Stationery,53.94,4,100
2026-01-08,P010,Ballpoint Pen Pack,Stationery,54.08,4,100
2026-01-09,P010,Ballpoint Pen Pack,Stationery,53.82,4,100
2026-01-10,P010,Ballpoint Pen Pack,Stationery,54.07,4,100
2026-01-11,P010,Ballpoint Pen Pack,Stationery,54.38,4,100
2026-01-12,P010,Ballpoint Pen Pack,Stationery,51.78,4,100
2026-01-13,P010,Ballpoint Pen Pack,Stationery,52.72,4,100
2026-01-14,P010,Ballpoint Pen Pack,Stationery,52.8,4,100
2026-01-15,P010,Ballpoint Pen Pack,Stationery,53.1,4,100
2026-01-16,P010,Ballpoint Pen Pack,Stationery,53.41,4,100
2026-01-17,P010,Ballpoint Pen Pack,Stationery,54.12,4,100
2026-01-18,P010,Ballpoint Pen Pack,Stationery,54.26,4,100
2026-01-19,P010,Ballpoint Pen Pack,Stationery,52.08,4,100
2026-01-20,P010,Ballpoint Pen Pack,Stationery,52.66,4,100
2026-01-21,P010,Ballpoint Pen Pack,Stationery,52.32,4,100
2026-01-22,P010,Ballpoint Pen Pack,Stationery,53.1,4,100
2026-01-23,P010,Ballpoint Pen Pack,Stationery,53.38,4,100
2026-01-24,P010,Ballpoint Pen Pack,Stationery,53.96,4,100
2026-01-25,P010,Ballpoint Pen Pack,Stationery,54.06,4,100
2026-01-26,P010,Ballpoint Pen Pack,Stationery,51.7,4,100
2026-01-27,P010,Ballpoint Pen Pack,Stationery,52.49,4,100
2026-01-28,P010,Ballpoint Pen Pack,Stationery,52.45,4,100
2026-01-29,P010,Ballpoint Pen Pack,Stationery,52.6,4,100
2026-01-30,P010,Ballpoint Pen Pack,Stationery,53.19,4,100
2026-01-01,P018,Electric Kettle,Home & Kitchen,10.7,14,20
2026-01-02,P018,Electric Kettle,Home & Kitchen,10.67,14,20
2026-01-03,P018,Electric Kettle,Home & Kitchen,10.84,14,20
2026-01-04,P018,Electric Kettle,Home & Kitchen,10.86,14,20
2026-01-05,P018,Electric Kettle,Home & Kitchen,10.67,14,20
2026-01-06,P018,Electric Kettle,Home & Kitchen,10.62,14,20
2026-01-07,P018,Electric Kettle,Home & Kitchen,10.73,14,20
2026-01-08,P018,Electric Kettle,Home & Kitchen,10.84,14,20
2026-01-09,P018,Electric Kettle,Home & Kitchen,10.92,14,20
2026-01-10,P018,Electric Kettle,Home & Kitchen,11.02,14,20
2026-01-11,P018,Electric Kettle,Home & Kitchen,10.96,14,20
2026-01-12,P018,Electric Kettle,Home & Kitchen,10.67,14,20
2026-01-13,P018,Electric Kettle,Home & Kitchen,10.47,14,20
2026-01-14,P018,Electric Kettle,Home & Kitchen,10.7,14,20
2026-01-15,P018,Electric Kettle,Home & Kitchen,10.48,14,20
2026-01-16,P018,Electric Kettle,Home & Kitchen,10.48,14,20
2026-01-17,P018,Electric Kettle,Home & Kitchen,10.73,14,20
2026-01-18,P018,Electric Kettle,Home & Kitchen,10.75,14,20
2026-01-19,P018,Electric Kettle,Home & Kitchen,10.57,14,20
2026-01-20,P018,Electric Kettle,Home & Kitchen,10.57,14,20
2026-01-21,P018,Electric Kettle,Home & Kitchen,10.64,14,20
2026-01-22,P018,Electric Kettle,Home & Kitchen,10.4,14,20
2026-01-23,P018,Electric Kettle,Home & Kitchen,10.37,14,20
2026-01-24,P018,Electric Kettle,Home & Kitchen,10.58,14,20
2026-01-25,P018,Electric Kettle,Home & Kitchen,10.54,14,20
2026-01-26,P018,Electric Kettle,Home & Kitchen,10.38,14,20
2026-01-27,P018,Electric Kettle,Home & Kitchen,10.3,14,20
2026-01-28,P018,Electric Kettle,Home & Kitchen,10.41,14,20
2026-01-29,P018,Electric Kettle,Home & Kitchen,10.32,14,20
2026-01-30,P018,Electric Kettle,Home & Kitchen,10.36,14,20
2026-01-01,P001,Wireless Mouse,Electronics,22.52,7,50
2026-01-02,P001,Wireless Mouse,Electronics,22.92,7,50
2026-01-03,P001,Wireless Mouse,Electronics,24.65,7,50
2026-01-04,P001,Wireless Mouse,Electronics,26.22,7,50
2026-01-05,P001,Wireless Mouse,Electronics,22.28,7,50
2026-01-06,P001,Wireless Mouse,Electronics,22.32,7,50
2026-01-07,P001,Wireless Mouse,Electronics,22.7,7,50
2026-01-08,P001,Wireless Mouse,Electronics,22.81,7,50
2026-01-09,P001,Wireless Mouse,Electronics,23.14,7,50
2026-01-10,P001,Wireless Mouse,Electronics,24.81,7,50
2026-01-11,P001,Wireless Mouse,Electronics,25.92,7,50
2026-01-12,P001,Wireless Mouse,Electronics,22.79,7,50
2026-01-13,P001,Wireless Mouse,Electronics,22.86,7,50
2026-01-14,P001,Wireless Mouse,Electronics,22.96,7,50
2026-01-15,P001,Wireless Mouse,Electronics,22.98,7,50
2026-01-16,P001,Wireless Mouse,Electronics,23.26,7,50
2026-01-17,P001,Wireless Mouse,Electronics,24.5,7,50
2026-01-18,P001,Wireless Mouse,Electronics,25.54,7,50
2026-01-19,P001,Wireless Mouse,Electronics,22.72,7,50
2026-01-20,P001,Wireless Mouse,Electronics,22.74,7,50
2026-01-21,P001,Wireless Mouse,Electronics,22.78,7,50
2026-01-22,P001,Wireless Mouse,Electronics,22.96,7,50
