date,product_id,product_name,category,opening_stock,stock_received,units_sold,closing_stock,reorder_point,lead_time_days,stock_status
2024-01-01,P001,Wireless Mouse,Electronics,150,0,19,131,50,7,In Stock
2024-01-02,P001,Wireless Mouse,Electronics,131,0,21,110,50,7,In Stock
2024-01-03,P001,Wireless Mouse,Electronics,110,0,14,96,50,7,In Stock
2024-01-04,P001,Wireless Mouse,Electronics,96,0,17,79,50,7,In Stock
2024-01-05,P001,Wireless Mouse,Electronics,79,0,16,63,50,7,Reorder Soon
2024-01-06,P001,Wireless Mouse,Electronics,63,162,21,204,50,7,In Stock
2024-01-07,P001,Wireless Mouse,Electronics,204,0,22,182,50,7,In Stock
2024-01-08,P001,Wireless Mouse,Electronics,182,0,16,166,50,7,In Stock
2024-01-09,P001,Wireless Mouse,Electronics,166,0,15,151,50,7,In Stock
2024-01-10,P001,Wireless Mouse,Electronics,151,0,18,133,50,7,In Stock
2024-01-11,P001,Wireless Mouse,Electronics,133,0,16,117,50,7,In Stock
2024-01-12,P001,Wireless Mouse,Electronics,117,0,18,99,50,7,In Stock
2024-01-13,P001,Wireless Mouse,Electronics,99,0,18,81,50,7,In Stock
2024-01-14,P001,Wireless Mouse,Electronics,81,0,27,54,50,7,Reorder Soon
2024-01-15,P001,Wireless Mouse,Electronics,54,166,19,201,50,7,In Stock
2024-01-16,P001,Wireless Mouse,Electronics,201,0,17,184,50,7,In Stock
2024-01-17,P001,Wireless Mouse,Electronics,184,0,16,168,50,7,In Stock
2024-01-18,P001,Wireless Mouse,Electronics,168,0,21,147,50,7,In Stock
2024-01-19,P001,Wireless Mouse,Electronics,147,0,16,131,50,7,In Stock
2024-01-20,P001,Wireless Mouse,Electronics,131,0,21,110,50,7,In Stock
2024-01-21,P001,Wireless Mouse,Electronics,110,0,21,89,50,7,In Stock
2024-01-22,P001,Wireless Mouse,Electronics,89,0,19,70,50,7,Reorder Soon
2024-01-23,P001,Wireless Mouse,Electronics,70,0,19,51,50,7,Reorder Soon
2024-01-24,P001,Wireless Mouse,Electronics,51,173,19,205,50,7,In Stock
2024-01-25,P001,Wireless Mouse,Electronics,205,0,18,187,50,7,In Stock
2024-01-26,P001,Wireless Mouse,Electronics,187,0,20,167,50,7,In Stock
2024-01-27,P001,Wireless Mouse,Electronics,167,0,18,149,50,7,In Stock
2024-01-28,P001,Wireless Mouse,Electronics,149,0,17,132,50,7,In Stock
