date,product_id,product_name,category,opening_stock,stock_received,units_sold,closing_stock,reorder_point,lead_time_days,stock_status,year,month,day,day_of_week,week_of_year,quarter,is_weekend,lag_1,lag_7,lag_14,rolling_7,rolling_30,predicted_demand,lead_time_demand,safety_stock,recommended_stock,reorder_recommendation,reorder_quantity
2025-08-13,P001,Wireless Mouse,Electronics,164,0,22,142,50,7,In Stock,2025,8,13,2,33,3,0,22.0,18.0,25.0,22.0,22.766666666666666,22.48,157.36,11.0,168.36,REORDER,26.0
2025-08-14,P001,Wireless Mouse,Electronics,142,0,20,122,50,7,In Stock,2025,8,14,3,33,3,0,22.0,21.0,21.0,22.571428571428573,22.766666666666666,23.15,162.05,11.29,173.34,REORDER,51.0
2025-08-15,P001,Wireless Mouse,Electronics,122,0,28,94,50,7,In Stock,2025,8,15,4,33,3,0,20.0,17.0,26.0,22.428571428571427,22.666666666666668,21.3,149.1,11.21,160.31,REORDER,66.0
2025-08-16,P001,Wireless Mouse,Electronics,94,0,19,75,50,7,Reorder Soon,2025,8,16,5,33,3,1,28.0,21.0,27.0,24.0,22.9,23.24,162.68,12.0,174.68,REORDER,100.0
2025-08-17,P001,Wireless Mouse,Electronics,75,0,21,54,50,7,Reorder Soon,2025,8,17,6,33,3,1,19.0,31.0,22.0,23.714285714285715,22.9,23.44,164.08,11.86,175.94,REORDER,122.0
2025-08-18,P001,Wireless Mouse,Electronics,54,162,23,193,50,7,In Stock,2025,8,18,0,34,3,0,21.0,24.0,23.0,22.285714285714285,22.83333333333333,21.52,150.64,11.14,161.78,NO REORDER,0.0
2025-08-19,P001,Wireless Mouse,Electronics,193,0,22,171,50,7,In Stock,2025,8,19,1,34,3,0,23.0,22.0,28.0,22.142857142857142,22.83333333333333,21.08,147.56,11.07,158.63,NO REORDER,0.0
2025-08-20,P001,Wireless Mouse,Electronics,171,0,25,146,50,7,In Stock,2025,8,20,2,34,3,0,22.0,22.0,18.0,22.142857142857142,22.6,22.56,157.92,11.07,168.99,REORDER,23.0
2025-08-21,P001,Wireless Mouse,Electronics,146,0,28,118,50,7,In Stock,2025,8,21,3,34,3,0,25.0,20.0,21.0,22.571428571428573,22.7,22.51,157.57,11.29,168.86,REORDER,51.0
2025-08-22,P001,Wireless Mouse,Electronics,118,0,22,96,50,7,In Stock,2025,8,22,4,34,3,0,28.0,28.0,17.0,23.714285714285715,23.133333333333333,23.23,162.61,11.86,174.47,REORDER,78.0
2025-08-23,P001,Wireless Mouse,Electronics,96,0,31,65,50,7,Reorder Soon,2025,8,23,5,34,3,1,22.0,19.0,21.0,22.857142857142858,23.133333333333333,24.9,174.3,11.43,185.73,REORDER,121.0
2025-08-24,P001,Wireless Mouse,Electronics,65,155,19,201,50,7,In Stock,2025,8,24,6,34,3,1,31.0,21.0,31.0,24.571428571428573,23.23333333333333,22.33,156.31,12.29,168.6,NO REORDER,0.0
2025-08-25,P001,Wireless Mouse,Electronics,201,0,28,173,50,7,In Stock,2025,8,25,0,35,3,0,19.0,23.0,24.0,24.285714285714285,22.966666666666665,21.59,151.13,12.14,163.27,NO REORDER,0.0
2025-08-26,P001,Wireless Mouse,Electronics,173,0,18,155,50,7,In Stock,2025,8,26,1,35,3,0,28.0,22.0,22.0,25.0,23.1,22.06,154.42,12.5,166.92,REORDER,12.0
2025-08-27,P001,Wireless Mouse,Electronics,155,0,24,131,50,7,In Stock,2025,8,27,2,35,3,0,18.0,25.0,22.0,24.428571428571427,22.9,22.08,154.56,12.21,166.77,REORDER,36.0
2025-08-28,P001,Wireless Mouse,Electronics,131,0,21,110,50,7,In Stock,2025,8,28,3,35,3,0,24.0,28.0,20.0,24.285714285714285,23.23333333333333,22.23,155.61,12.14,167.75,REORDER,58.0
2025-08-29,P001,Wireless Mouse,Electronics,110,0,20,90,50,7,In Stock,2025,8,29,4,35,3,0,21.0,22.0,28.0,23.285714285714285,23.23333333333333,21.56,150.92,11.64,162.56,REORDER,73.0
2025-08-30,P001,Wireless Mouse,Electronics,90,0,33,57,50,7,Reorder Soon,2025,8,30,5,35,3,1,20.0,31.0,19.0,23.0,23.066666666666663,23.88,167.16,11.5,178.66,REORDER,122.0
2025-08-31,P001,Wireless Mouse,Electronics,57,167,27,197,50,7,In Stock,2025,8,31,6,35,3,1,33.0,19.0,21.0,23.285714285714285,23.466666666666665,23.74,166.18,11.64,177.82,NO REORDER,0.0
